,Year,County,Unemployment Rate,Region
318,2014,Nevada,6.533333333,"Nevada County, CA"
319,2014,Orange,0.016666667,"Orange County, CA"
320,2014,Placer,6.258333333,"Placer County, CA"
321,2014,Plumas,11.61666667,"Plumas County, CA"
322,2014,Riverside,8.191666667,"Riverside County, CA"
323,2014,Sacramento,7.308333333,"Sacramento County, CA"
324,2014,San Benito,9.333333333,"San Benito County, CA"
325,2014,San Bernardino,8,"San Bernardino County, CA"
326,2014,San Diego,6.416666667,"San Diego County, CA"
327,2014,San Francisco,4.358333333,"San Francisco County, CA"
328,2014,San Joaquin,10.51666667,"San Joaquin County, CA"
329,2014,San Luis Obispo,5.575,"San Luis Obispo County, CA"
330,2014,San Mateo,4.233333333,"San Mateo County, CA"
331,2014,Santa Barbara,6.125,"Santa Barbara County, CA"
332,2014,Santa Clara,5.15,"Santa Clara County, CA"
333,2014,Santa Cruz,8.758333333,"Santa Cruz County, CA"
334,2014,Shasta,9.6,"Shasta County, CA"
335,2014,Sierra,10.06666667,"Sierra County, CA"
336,2014,Siskiyou,11.11666667,"Siskiyou County, CA"
337,2014,Solano,7.508333333,"Solano County, CA"
338,2014,Sonoma,5.6,"Sonoma County, CA"
339,2014,Stanislaus,11.175,"Stanislaus County, CA"
340,2014,Sutter,12.65,"Sutter County, CA"
341,2014,Tehama,9.625,"Tehama County, CA"
342,2014,Trinity,9.491666667,"Trinity County, CA"
343,2014,Tulare,13.125,"Tulare County, CA"
344,2014,Tuolumne,8.65,"Tuolumne County, CA"
345,2014,Ventura,6.65,"Ventura County, CA"
346,2014,Yolo,7.508333333,"Yolo County, CA"
347,2014,Yuba,11.19166667,"Yuba County, CA"
348,2015,Alameda,4.741666667,"Alameda County, CA"
349,2015,Alpine,7.358333333,"Alpine County, CA"
350,2015,Amador,6.591666667,"Amador County, CA"
351,2015,Butte,7.166666667,"Butte County, CA"
352,2015,Calaveras,6.383333333,"Calaveras County, CA"
353,2015,Colusa,15.48333333,"Colusa County, CA"
354,2015,Contra Costa,5.025,"Contra Costa County, CA"
355,2015,Del Norte,8.541666667,"Del Norte County, CA"
356,2015,El Dorado,5.7,"El Dorado County, CA"
357,2015,Fresno,10.19166667,"Fresno County, CA"
358,2015,Glenn,8.725,"Glenn County, CA"
359,2015,Humboldt,5.608333333,"Humboldt County, CA"
360,2015,Imperial,24.475,"Imperial County, CA"
361,2015,Inyo,5.783333333,"Inyo County, CA"
362,2015,Kern,10.21666667,"Kern County, CA"
363,2015,Kings,10.49166667,"Kings County, CA"
364,2015,Lake,7.583333333,"Lake County, CA"
365,2015,Lassen,7.225,"Lassen County, CA"
366,2015,Los Angeles,13.20833333,"Los Angeles County, CA"
367,2015,Madera,10.50833333,"Madera County, CA"
368,2015,Marin,3.55,"Marin County, CA"
369,2015,Mariposa,7.241666667,"Mariposa County, CA"
370,2015,Mendocino,5.825,"Mendocino County, CA"
371,2015,Merced,11.35833333,"Merced County, CA"
372,2015,Modoc,8.616666667,"Modoc County, CA"
373,2015,Mono,6.141666667,"Mono County, CA"
374,2015,Monterey,8.183333333,"Monterey County, CA"
375,2015,Napa,4.625,"Napa County, CA"
376,2015,Nevada,5.4,"Nevada County, CA"
377,2015,Orange,0,"Orange County, CA"
378,2015,Placer,5.05,"Placer County, CA"
379,2015,Plumas,10.35,"Plumas County, CA"
380,2015,Riverside,6.683333333,"Riverside County, CA"
381,2015,Sacramento,5.991666667,"Sacramento County, CA"
382,2015,San Benito,7.558333333,"San Benito County, CA"
383,2015,San Bernardino,6.441666667,"San Bernardino County, CA"
384,2015,San Diego,5.2,"San Diego County, CA"
385,2015,San Francisco,3.65,"San Francisco County, CA"
386,2015,San Joaquin,8.875,"San Joaquin County, CA"
387,2015,San Luis Obispo,4.733333333,"San Luis Obispo County, CA"
388,2015,San Mateo,3.433333333,"San Mateo County, CA"
389,2015,Santa Barbara,5.291666667,"Santa Barbara County, CA"
390,2015,Santa Clara,4.133333333,"Santa Clara County, CA"
391,2015,Santa Cruz,7.491666667,"Santa Cruz County, CA"
392,2015,Shasta,7.766666667,"Shasta County, CA"
393,2015,Sierra,8.75,"Sierra County, CA"
394,2015,Siskiyou,9.358333333,"Siskiyou County, CA"
395,2015,Solano,6.108333333,"Solano County, CA"
396,2015,Sonoma,4.491666667,"Sonoma County, CA"
397,2015,Stanislaus,9.491666667,"Stanislaus County, CA"
398,2015,Sutter,10.7,"Sutter County, CA"
399,2015,Tehama,7.908333333,"Tehama County, CA"
400,2015,Trinity,7.808333333,"Trinity County, CA"
401,2015,Tulare,11.625,"Tulare County, CA"
402,2015,Tuolumne,7.05,"Tuolumne County, CA"
403,2015,Ventura,5.633333333,"Ventura County, CA"
404,2015,Yolo,6.441666667,"Yolo County, CA"
405,2015,Yuba,9.3,"Yuba County, CA"
406,2016,Alameda,4.291666667,"Alameda County, CA"
407,2016,Alpine,6.583333333,"Alpine County, CA"
408,2016,Amador,5.958333333,"Amador County, CA"
409,2016,Butte,6.591666667,"Butte County, CA"
410,2016,Calaveras,5.658333333,"Calaveras County, CA"
411,2016,Colusa,15.58333333,"Colusa County, CA"
412,2016,Contra Costa,4.466666667,"Contra Costa County, CA"
413,2016,Del Norte,7.525,"Del Norte County, CA"
414,2016,El Dorado,5.133333333,"El Dorado County, CA"
415,2016,Fresno,9.5,"Fresno County, CA"
416,2016,Glenn,8.325,"Glenn County, CA"
417,2016,Humboldt,4.941666667,"Humboldt County, CA"
418,2016,Imperial,24.11666667,"Imperial County, CA"
419,2016,Inyo,5.283333333,"Inyo County, CA"
420,2016,Kern,10.38333333,"Kern County, CA"
421,2016,Kings,9.958333333,"Kings County, CA"
422,2016,Lake,6.708333333,"Lake County, CA"
423,2016,Lassen,6.941666667,"Lassen County, CA"
424,2016,Los Angeles,10.53333333,"Los Angeles County, CA"
425,2016,Madera,9.233333333,"Madera County, CA"
426,2016,Marin,3.275,"Marin County, CA"
427,2016,Mariposa,6.916666667,"Mariposa County, CA"
428,2016,Mendocino,5.275,"Mendocino County, CA"
429,2016,Merced,10.58333333,"Merced County, CA"
430,2016,Modoc,7.866666667,"Modoc County, CA"
431,2016,Mono,5.391666667,"Mono County, CA"
432,2016,Monterey,7.75,"Monterey County, CA"
433,2016,Napa,4.291666667,"Napa County, CA"
434,2016,Nevada,4.775,"Nevada County, CA"
435,2016,Orange,0,"Orange County, CA"
436,2016,Placer,4.491666667,"Placer County, CA"
437,2016,Plumas,9.816666667,"Plumas County, CA"
438,2016,Riverside,6.125,"Riverside County, CA"
439,2016,Sacramento,5.4,"Sacramento County, CA"
440,2016,San Benito,6.658333333,"San Benito County, CA"
441,2016,San Bernardino,5.775,"San Bernardino County, CA"
442,2016,San Diego,4.716666667,"San Diego County, CA"
443,2016,San Francisco,3.275,"San Francisco County, CA"
444,2016,San Joaquin,8.133333333,"San Joaquin County, CA"
445,2016,San Luis Obispo,4.308333333,"San Luis Obispo County, CA"
446,2016,San Mateo,3.041666667,"San Mateo County, CA"
447,2016,Santa Barbara,5.066666667,"Santa Barbara County, CA"
448,2016,Santa Clara,3.766666667,"Santa Clara County, CA"
449,2016,Santa Cruz,6.958333333,"Santa Cruz County, CA"
450,2016,Shasta,6.958333333,"Shasta County, CA"
451,2016,Sierra,7.6,"Sierra County, CA"
452,2016,Siskiyou,8.516666667,"Siskiyou County, CA"
453,2016,Solano,5.508333333,"Solano County, CA"
454,2016,Sonoma,3.966666667,"Sonoma County, CA"
455,2016,Stanislaus,8.616666667,"Stanislaus County, CA"
456,2016,Sutter,9.7,"Sutter County, CA"
457,2016,Tehama,7.125,"Tehama County, CA"
458,2016,Trinity,7.1,"Trinity County, CA"
459,2016,Tulare,11.16666667,"Tulare County, CA"
460,2016,Tuolumne,6.208333333,"Tuolumne County, CA"
461,2016,Ventura,5.216666667,"Ventura County, CA"
462,2016,Yolo,5.875,"Yolo County, CA"
463,2016,Yuba,8.608333333,"Yuba County, CA"
464,2017,Alameda,3.683333333,"Alameda County, CA"
465,2017,Alpine,6.233333333,"Alpine County, CA"
466,2017,Amador,4.966666667,"Amador County, CA"
467,2017,Butte,5.775,"Butte County, CA"
468,2017,Calaveras,4.725,"Calaveras County, CA"
469,2017,Colusa,14.275,"Colusa County, CA"
470,2017,Contra Costa,3.833333333,"Contra Costa County, CA"
471,2017,Del Norte,6.425,"Del Norte County, CA"
472,2017,El Dorado,4.358333333,"El Dorado County, CA"
473,2017,Fresno,8.508333333,"Fresno County, CA"
474,2017,Glenn,7.45,"Glenn County, CA"
475,2017,Humboldt,4.183333333,"Humboldt County, CA"
476,2017,Imperial,19.51666667,"Imperial County, CA"
477,2017,Inyo,4.35,"Inyo County, CA"
478,2017,Kern,9.175,"Kern County, CA"
479,2017,Kings,8.866666667,"Kings County, CA"
480,2017,Lake,5.766666667,"Lake County, CA"
481,2017,Lassen,5.516666667,"Lassen County, CA"
482,2017,Los Angeles,9.516666667,"Los Angeles County, CA"
483,2017,Madera,8.1,"Madera County, CA"
484,2017,Marin,2.883333333,"Marin County, CA"
485,2017,Mariposa,5.916666667,"Mariposa County, CA"
486,2017,Mendocino,4.516666667,"Mendocino County, CA"
487,2017,Merced,9.358333333,"Merced County, CA"
488,2017,Modoc,8.108333333,"Modoc County, CA"
489,2017,Mono,4.441666667,"Mono County, CA"
490,2017,Monterey,7.241666667,"Monterey County, CA"
491,2017,Napa,3.633333333,"Napa County, CA"
492,2017,Nevada,4.1,"Nevada County, CA"
493,2017,Orange,0.008333333,"Orange County, CA"
494,2017,Placer,3.866666667,"Placer County, CA"
495,2017,Plumas,8.966666667,"Plumas County, CA"
496,2017,Riverside,5.241666667,"Riverside County, CA"
497,2017,Sacramento,4.658333333,"Sacramento County, CA"
498,2017,San Benito,5.775,"San Benito County, CA"
499,2017,San Bernardino,4.916666667,"San Bernardino County, CA"
500,2017,San Diego,4.016666667,"San Diego County, CA"
501,2017,San Francisco,2.925,"San Francisco County, CA"
502,2017,San Joaquin,7,"San Joaquin County, CA"
503,2017,San Luis Obispo,3.591666667,"San Luis Obispo County, CA"
504,2017,San Mateo,2.725,"San Mateo County, CA"
505,2017,Santa Barbara,4.525,"Santa Barbara County, CA"
506,2017,Santa Clara,3.216666667,"Santa Clara County, CA"
507,2017,Santa Cruz,5.683333333,"Santa Cruz County, CA"
508,2017,Shasta,5.791666667,"Shasta County, CA"
509,2017,Sierra,6.508333333,"Sierra County, CA"
510,2017,Siskiyou,7.266666667,"Siskiyou County, CA"
511,2017,Solano,4.758333333,"Solano County, CA"
