,State,County,City,Median Sale Price,Date,Month,Year
20183,California,"Napa, CA",Napa,565000.0,10/1/2015,10,2015
20391,California,"Napa, CA",Napa,635000.0,7/1/2016,7,2016
20427,California,"San Francisco, CA",San Francisco,1196000.0,8/1/2016,8,2016
20493,California,"San Mateo, CA",San Mateo,1022000.0,11/1/2016,11,2016
20539,California,"San Francisco, CA",San Francisco,1140000.0,1/1/2017,1,2017
20548,California,"Napa, CA",Napa,532000.0,2/1/2017,2,2017
20720,California,"Napa, CA",Napa,600000.0,9/1/2017,9,2017
20779,California,"San Francisco, CA",San Francisco,1388000.0,11/1/2017,11,2017
20787,California,"Napa, CA",Napa,669000.0,12/1/2017,12,2017
20868,California,"Napa, CA",Napa,635000.0,3/1/2018,3,2018
21119,California,"San Mateo, CA",San Mateo,1255000.0,1/1/2019,1,2019
21120,California,"San Francisco, CA",San Francisco,1210000.0,1/1/2019,1,2019
21180,California,"Santa Clara, CA",Santa Clara,1450000.0,4/1/2018,4,2018
21204,California,"Santa Clara, CA",Santa Clara,1351000.0,7/1/2018,7,2018
21299,California,"San Francisco, CA",San Francisco,1023000.0,3/1/2014,3,2014
21399,California,"San Francisco, CA",San Francisco,1006000.0,8/1/2014,8,2014
21461,California,"San Mateo, CA",San Mateo,960000.0,11/1/2014,11,2014
21531,California,"San Mateo, CA",San Mateo,985000.0,3/1/2015,3,2015
21553,California,"San Mateo, CA",San Mateo,1098000.0,4/1/2015,4,2015
21616,California,"San Francisco, CA",San Francisco,1183000.0,7/1/2015,7,2015
21651,California,"Napa, CA",Napa,615000.0,9/1/2015,9,2015
21665,California,"San Francisco, CA",San Francisco,1180000.0,9/1/2015,9,2015
21748,California,"San Mateo, CA",San Mateo,980000.0,1/1/2016,1,2016
21767,California,"San Francisco, CA",San Francisco,1220000.0,2/1/2016,2,2016
21772,California,"Napa, CA",Napa,550000.0,3/1/2016,3,2016
21795,California,"Napa, CA",Napa,631000.0,4/1/2016,4,2016
21808,California,"Napa, CA",Napa,603000.0,5/1/2016,5,2016
21862,California,"San Mateo, CA",San Mateo,1202000.0,7/1/2016,7,2016
21901,California,"Napa, CA",Napa,610000.0,9/1/2016,9,2016
21919,California,"San Mateo, CA",San Mateo,1140000.0,9/1/2016,9,2016
21920,California,"San Francisco, CA",San Francisco,1153000.0,9/1/2016,9,2016
21928,California,"Napa, CA",Napa,580000.0,10/1/2016,10,2016
21964,California,"San Francisco, CA",San Francisco,1200000.0,11/1/2016,11,2016
21992,California,"Napa, CA",Napa,650000.0,1/1/2017,1,2017
22095,California,"Napa, CA",Napa,640000.0,6/1/2017,6,2017
22160,California,"San Mateo, CA",San Mateo,1224000.0,9/1/2017,9,2017
22281,California,"San Francisco, CA",San Francisco,1400000.0,2/1/2018,2,2018
22337,California,"San Mateo, CA",San Mateo,1500000.0,5/1/2018,5,2018
22346,California,"Napa, CA",Napa,695000.0,6/1/2018,6,2018
22358,California,"San Mateo, CA",San Mateo,1450000.0,6/1/2018,6,2018
22372,California,"San Francisco, CA",San Francisco,1365000.0,7/1/2018,7,2018
22411,California,"San Francisco, CA",San Francisco,1400000.0,10/1/2018,10,2018
22438,California,"Napa, CA",Napa,622000.0,12/1/2018,12,2018
22450,California,"San Mateo, CA",San Mateo,1350000.0,12/1/2018,12,2018
22573,California,"Alameda, CA",Alameda,840000.0,4/1/2016,4,2016
22641,California,"San Mateo, CA",San Mateo,1088000.0,8/1/2016,8,2016
22656,California,"Santa Clara, CA",Santa Clara,965000.0,9/1/2016,9,2016
22688,California,"Santa Clara, CA",Santa Clara,963000.0,12/1/2016,12,2016
22757,California,"San Francisco, CA",San Francisco,1310000.0,6/1/2017,6,2017
22780,California,"Alameda, CA",Alameda,820000.0,8/1/2017,8,2017
22913,California,"Alameda, CA",Alameda,1075000.0,6/1/2018,6,2018
22921,California,"Alameda, CA",Alameda,1063000.0,7/1/2018,7,2018
23044,California,"San Francisco, CA",San Francisco,1405000.0,6/1/2018,6,2018
23082,California,"Santa Clara, CA",Santa Clara,1319000.0,8/1/2018,8,2018
23336,California,"San Mateo, CA",San Mateo,642000.0,3/1/2012,3,2012
23573,California,"San Mateo, CA",San Mateo,991000.0,6/1/2015,6,2015
23579,California,"Napa, CA",Napa,547000.0,8/1/2015,8,2015
23724,California,"San Mateo, CA",San Mateo,1363000.0,2/1/2018,2,2018
23733,California,"San Francisco, CA",San Francisco,1453000.0,3/1/2018,3,2018
23802,California,"Napa, CA",Napa,605000.0,1/1/2019,1,2019
